dsc_muninicpios,municipios,codigo_ibge
Alta Floresta d´Oeste - RO,alta floresta d´oeste - ro, 1100015
"Foz do Jordão - PR, Pinhão - PR",foz do jordao - pr,4108452.0
"Candói - PR, Pinhão - PR",candoi - pr,4104428.0
Sobradinho - BA,sobradinho - ba,2930774.0
Sobradinho - BA,sobradinho - ba,2930774.0
Sobradinho - BA,sobradinho - ba,2930774.0
Sobradinho - BA,sobradinho - ba,2930774.0
"Ibipeba - BA, Uibaí - BA",ibipeba - ba,2912400.0
Amajari - RR,amajari - rr,1400027.0
Icó - CE,ico - ce,2305407.0
Planalto - SP,planalto - sp,3539608.0
Juazeiro - BA,juazeiro - ba,2918407.0
Vargem Bonita - SC,vargem bonita - sc,4219176.0
Sento Sé - BA,sento se - ba,2930204.0
Sento Sé - BA,sento se - ba,2930204.0
Sento Sé - BA,sento se - ba,2930204.0
Sento Sé - BA,sento se - ba,2930204.0
Sento Sé - BA,sento se - ba,2930204.0
Ibirité - MG,ibirite - mg,3129806.0
Gravataí - RS,gravatai - rs,4309209.0
Duque de Caxias - RJ,duque de caxias - rj,3301702.0
Nobres - MT,nobres - mt,5105903.0
Bacabeira - MA,bacabeira - ma,2101251.0
Ipiranga - PR,ipiranga - pr,4110508.0
Estância Velha - RS,estancia velha - rs,4307609.0
Bebedouro - SP,bebedouro - sp,3506102.0
Maringá - PR,maringa - pr,4115200.0
Campo Limpo Paulista - SP,campo limpo paulista - sp,3509601.0
Timbaúba - PE,timbauba - pe,2615300.0
Timbaúba - PE,timbauba - pe,2615300.0
Macaíba - RN,macaiba - rn,2407104.0
Rolândia - PR,rolandia - pr,4122404.0
Encruzilhada do Sul - RS,encruzilhada do sul - rs,4306908.0
Barreiras - BA,barreiras - ba,2903201.0
Catolé do Rocha - PB,catole do rocha - pb,2504306.0
Recife - PE,recife - pe,2611606.0
Conchas - SP,conchas - sp,3512308.0
Curitiba - PR,curitiba - pr,4106902.0
Itaporanga - PB,itaporanga - pb,2507002.0
Recife - PE,recife - pe,2611606.0
Candelária - RS,candelaria - rs,4304200.0
Lucas do Rio Verde - MT,lucas do rio verde - mt,5105259.0
Rodeio - SC,rodeio - sc,4215109.0
Araguaína - TO,araguaina - to,1702109.0
Currais Novos - RN,currais novos - rn,2403103.0
Blumenau - SC,blumenau - sc,4202404.0
São José - SC,sao jose - sc,4216602.0
Blumenau - SC,blumenau - sc,4202404.0
São Lourenço do Oeste - SC,sao lourenco do oeste - sc,4216909.0
Aquiraz - CE,aquiraz - ce,2301000.0
Blumenau - SC,blumenau - sc,4202404.0
Aparecida de Goiânia - GO,aparecida de goiania - go,5201405.0
Blumenau - SC,blumenau - sc,4202404.0
Pelotas - RS,pelotas - rs,4314407.0
Pelotas - RS,pelotas - rs,4314407.0
Pelotas - RS,pelotas - rs,4314407.0
Pelotas - RS,pelotas - rs,4314407.0
Pelotas - RS,pelotas - rs,4314407.0
Jaguarão - RS,jaguarao - rs,4311007.0
Jaguarão - RS,jaguarao - rs,4311007.0
Blumenau - SC,blumenau - sc,4202404.0
Blumenau - SC,blumenau - sc,4202404.0
Guabiruba - SC,guabiruba - sc,4206306.0
Guabiruba - SC,guabiruba - sc,4206306.0
João Pessoa - PB,joao pessoa - pb,2507507.0
Açailândia - MA,acailandia - ma,2100055.0
Cambé - PR,cambe - pr,4103701.0
Macaíba - RN,macaiba - rn,2407104.0
Serra Talhada - PE,serra talhada - pe,2613909.0
Cachoeiro de Itapemirim - ES,cachoeiro de itapemirim - es,3201209.0
Timbó - SC,timbo - sc,4218202.0
Anápolis - GO,anapolis - go,5201108.0
Campestre de Goiás - GO,campestre de goias - go,5204607.0
Rianápolis - GO,rianapolis - go,5218706.0
Aparecida de Goiânia - GO,aparecida de goiania - go,5201405.0
Macaíba - RN,macaiba - rn,2407104.0
Marília - SP,marilia - sp,3529005.0
Fortaleza - CE,fortaleza - ce,2304400.0
Goianésia - GO,goianesia - go,5208608.0
Cambuí - MG,cambui - mg,3110608.0
Cruzeta - RN,cruzeta - rn,2403004.0
Arapiraca - AL,arapiraca - al,2700300.0
Serra - ES,serra - es,3205002.0
Cachoeiro de Itapemirim - ES,cachoeiro de itapemirim - es,3201209.0
Agudo - RS,agudo - rs,4300109.0
Piracicaba - SP,piracicaba - sp,3538709.0
Cassilândia - MS,cassilandia - ms,5002902.0
Cascavel - PR,cascavel - pr,4104808.0
Cuiabá - MT,cuiaba - mt,5103403.0
Paranavaí - PR,paranavai - pr,4118402.0
Agrestina - PE,agrestina - pe,2600302.0
Rio Verde - GO,rio verde - go,5218805.0
Catanduva - SP,catanduva - sp,3511102.0
Umuarama - PR,umuarama - pr,4128104.0
Cachoeiro de Itapemirim - ES,cachoeiro de itapemirim - es,3201209.0
Pelotas - RS,pelotas - rs,4314407.0
São José de Mipibu - RN,sao jose de mipibu - rn,2412203.0
São José de Mipibu - RN,sao jose de mipibu - rn,2412203.0
Armazém - SC,armazem - sc,4201505.0
Santa Cecília - SC,santa cecilia - sc,4215505.0
Mauá - SP,maua - sp,3529401.0
Porto Velho - RO,porto velho - ro,1100205.0
São João da Paraúna - GO,sao joao da parauna - go,5220058.0
Bela Vista - MS,bela vista - ms,5002100.0
Salinas - MG,salinas - mg,3157005.0
Catolé do Rocha - PB,catole do rocha - pb,2504306.0
Jaguariúna - SP,jaguariuna - sp,3524709.0
Clevelândia - PR,clevelandia - pr,4105706.0
Nepomuceno - MG,nepomuceno - mg,3144607.0
